일자,총지수
201101,82.42699999999999
201102,83.09100000000001
201103,83.90600000000002
201104,84.602
201105,85.194
201106,85.61600000000001
201107,85.968
201108,86.39500000000001
201109,86.869
201110,87.217
201111,87.56400000000001
201112,87.71100000000001
201201,87.849
201202,87.997
201203,88.13100000000001
201204,88.22600000000001
201205,88.269
201206,88.238
201207,88.137
201208,88.048
201209,87.914
201210,87.81500000000001
201211,87.747
201212,87.686
201301,87.638
201302,87.58600000000001
201303,87.54600000000002
201304,87.548
201305,87.53600000000002
201306,87.50100000000002
201307,87.498
201308,87.46400000000001
201309,87.51
201310,87.68900000000001
201311,87.843
201312,88.012
201401,88.113
201402,88.25800000000001
201403,88.507
201404,88.69100000000002
201405,88.75100000000002
201406,88.813
201407,88.89500000000001
201408,89.01500000000001
201409,89.26
201410,89.525
201411,89.708
201412,89.87400000000001
201501,89.994
201502,90.20100000000001
201503,90.57500000000002
201504,91.02600000000001
201505,91.36600000000001
201506,91.789
201507,92.18100000000001
201508,92.54400000000001
201509,92.98100000000001
201510,93.299
201511,93.69900000000001
201512,93.87100000000001
201601,93.94900000000001
201602,94.017
201603,94.05000000000001
201604,94.08900000000001
201605,94.15100000000001
201606,94.237
201607,94.36000000000001
201608,94.48
201609,94.61000000000001
201610,94.84
201611,95.08000000000001
201612,95.15100000000001
201701,95.172
201702,95.183
201703,95.208
201704,95.244
201705,95.29400000000001
201706,95.46100000000001
201707,95.686
201708,95.915
201709,95.99600000000001
201710,96.105
201711,96.238
201712,96.337
201801,96.518
201802,96.72800000000001
201803,96.97100000000002
201804,97.135
201805,97.23400000000001
201806,97.328
201807,97.442
201808,97.65100000000001
201809,98.617
201810,99.174
201811,99.32600000000001
201812,99.40400000000001
201901,99.424
201902,99.358
201903,99.253
201904,99.11500000000001
201905,99.049
201906,98.962
201907,98.95500000000001
201908,99.01
201909,99.06400000000001
201910,99.157
201911,99.298
201912,99.64600000000002
202001,100.00000000000001
202002,100.372
202003,100.93500000000002
202004,101.168
202005,101.308
202006,101.80100000000002
202007,102.702
202008,103.50500000000001
202009,104.333
202010,105.03500000000001
202011,106.549
202012,108.01
